"","Invoice","InvoiceDate","InvoiceTotal","Country"
"1","489434",40148.3229166667,505.3,"United Kingdom"
"2","489435",40148.3236111111,145.8,"United Kingdom"
"3","489436",40148.3791666667,630.33,"United Kingdom"
"4","489437",40148.3805555556,310.75,"United Kingdom"
"5","489438",40148.3916666667,2286.24,"United Kingdom"
"6","489439",40148.3944444444,426.3,"France"
"7","489440",40148.4048611111,50.4,"United Kingdom"
"8","489441",40148.4055555556,344.34,"United Kingdom"
"9","489442",40148.4069444444,382.37,"United Kingdom"
"10","489443",40148.4097222222,285.06,"United Kingdom"
"11","489444",40148.4131944444,141,"USA"
"12","489445",40148.4145833333,308.44,"United Kingdom"
"13","489446",40148.4208333333,996.1,"United Kingdom"
"14","489447",40148.4236111111,130,"Belgium"
"15","489448",40148.4291666667,570.24,"United Kingdom"
"16","489450",40148.4416666667,196.1,"Australia"
"17","489460",40148.4486111111,485.79,"United Kingdom"
"18","489461",40148.4506944444,589.33,"United Kingdom"
"19","489462",40148.4506944444,148.3,"United Kingdom"
"20","489465",40148.4527777778,1197.8,"United Kingdom"
"21","489488",40148.4576388889,251.1,"United Kingdom"
"22","489505",40148.4701388889,255.5,"United Kingdom"
"23","489514",40148.4729166667,823.02,"United Kingdom"
"24","489517",40148.4819444444,282.46,"United Kingdom"
"25","489519",40148.4840277778,696.73,"United Kingdom"
"26","489520",40148.4868055556,733.63,"EIRE"
"27","489522",40148.4895833333,700.31,"United Kingdom"
"28","489523",40148.4902777778,1160,"United Kingdom"
"29","489526",40148.4930555556,929.92,"Germany"
"30","489529",40148.49375,229.46,"United Kingdom"
"31","489531",40148.4979166667,145,"United Kingdom"
"32","489532",40148.4986111111,304.53,"United Kingdom"
"33","489533",40148.5013888889,192.75,"United Kingdom"
"34","489536",40148.5090277778,367.41,"United Kingdom"
"35","489537",40148.5097222222,633.33,"United Kingdom"
"36","489540",40148.5125,537.96,"United Kingdom"
"37","489539",40148.5125,2887.14,"United Kingdom"
"38","489542",40148.5131944444,387.6,"United Kingdom"
"39","489544",40148.5138888889,281.82,"United Kingdom"
"40","489545",40148.5152777778,124.95,"United Kingdom"
"41","489546",40148.5208333333,584.5,"EIRE"
"42","489547",40148.5208333333,641.45,"United Kingdom"
"43","489550",40148.5229166667,482.3,"EIRE"
"44","489552",40148.525,278.61,"United Kingdom"
"45","489556",40148.5326388889,379.65,"United Kingdom"
"46","489557",40148.5361111111,603.94,"France"
"47","489558",40148.5375,291.58,"United Kingdom"
"48","489559",40148.5381944444,128.6,"United Kingdom"
"49","489560",40148.5388888889,859.1,"United Kingdom"
"50","489561",40148.5395833333,246.86,"United Kingdom"
"51","489562",40148.5465277778,229.6,"United Kingdom"
"52","489564",40148.5506944444,322.9,"United Kingdom"
"53","489566",40148.5527777778,218.55,"United Kingdom"
"54","489567",40148.5548611111,307.8,"United Kingdom"
"55","489569",40148.5555555556,282.28,"United Kingdom"
"56","489571",40148.5618055556,156.71,"United Kingdom"
"57","489572",40148.5618055556,507.49,"United Kingdom"
"58","489573",40148.5618055556,580.02,"United Kingdom"
"59","489574",40148.5631944444,551.33,"United Kingdom"
"60","489575",40148.5673611111,367.28,"United Kingdom"
"61","489576",40148.5680555556,319.66,"United Kingdom"
"62","489579",40148.5701388889,219.82,"United Kingdom"
"63","489580",40148.5715277778,261,"United Kingdom"
"64","489582",40148.5743055556,293.95,"United Kingdom"
"65","489581",40148.5743055556,124.83,"United Kingdom"
"66","489584",40148.575,21.95,"United Kingdom"
"67","489585",40148.5756944444,105.85,"United Kingdom"
"68","489586",40148.5763888889,263.42,"United Kingdom"
"69","489590",40148.5930555556,362.78,"United Kingdom"
"70","489593",40148.5965277778,423.87,"United Kingdom"
"71","489594",40148.5965277778,322.33,"United Kingdom"
"72","489598",40148.6076388889,822.37,"United Kingdom"
"73","489599",40148.6111111111,2454.68,"Portugal"
"74","489606",40148.6166666667,2.1,"United Kingdom"
"75","489611",40148.6201388889,2.95,"United Kingdom"
"76","489613",40148.6222222222,12.75,"United Kingdom"
"77","489617",40148.6243055556,198,"United Kingdom"
"78","489634",40148.6381944444,17.4,"United Kingdom"
"79","489635",40148.6430555556,352.85,"United Kingdom"
"80","489637",40148.65,535.9,"United Kingdom"
"81","489639",40148.6701388889,31.2,"United Kingdom"
"82","489640",40148.6784722222,329.91,"United Kingdom"
"83","489641",40148.6791666667,622.1,"United Kingdom"
"84","489644",40148.6875,896.54,"United Kingdom"
"85","489645",40148.6902777778,261.74,"United Kingdom"
"86","489650",40148.6972222222,173.1,"United Kingdom"
"87","489652",40148.7138888889,294.14,"United Kingdom"
"88","489654",40148.7215277778,222.12,"United Kingdom"
"89","489656",40148.7277777778,1237.3,"United Kingdom"
"90","489657",40148.7277777778,55.2,"United Kingdom"
"91","489658",40148.7298611111,828.09,"United Kingdom"
"92","489661",40148.7395833333,23.48,"United Kingdom"
"93","489662",40148.7430555556,73.75,"United Kingdom"
"94","489664",40148.7520833333,374.43,"United Kingdom"
"95","489665",40148.7548611111,252.3,"United Kingdom"
"96","489666",40148.7590277778,263.09,"United Kingdom"
"97","489667",40148.7743055556,538.46,"United Kingdom"
"98","489668",40148.8048611111,378.12,"United Kingdom"
"99","489669",40149.34375,397.2,"United Kingdom"
"100","489670",40149.3444444444,114.6,"United Kingdom"
"101","489671",40149.3736111111,740.3,"United Kingdom"
"102","489672",40149.3895833333,772.65,"United Kingdom"
"103","489673",40149.3909722222,61.1,"United Kingdom"
"104","489674",40149.3993055556,261.3,"United Kingdom"
"105","489675",40149.4076388889,4939.22,"United Kingdom"
"106","489676",40149.4090277778,1210.8,"United Kingdom"
"107","489677",40149.4097222222,192,"United Kingdom"
