"","Invoice","InvoiceDate","InvoiceTotal","Country","CountryCount","CountryMean"
"1","489434",40148.3229166667,505.3,"United Kingdom",17612,421.005902963888
"2","489435",40148.3236111111,145.8,"United Kingdom",17612,421.005902963888
"3","489436",40148.3791666667,630.33,"United Kingdom",17612,421.005902963888
"4","489437",40148.3805555556,310.75,"United Kingdom",17612,421.005902963888
"5","489438",40148.3916666667,2286.24,"United Kingdom",17612,421.005902963888
"6","489439",40148.3944444444,426.3,"France",236,619.55686440678
"7","489440",40148.4048611111,50.4,"United Kingdom",17612,421.005902963888
"8","489441",40148.4055555556,344.34,"United Kingdom",17612,421.005902963888
"9","489442",40148.4069444444,382.37,"United Kingdom",17612,421.005902963888
"10","489443",40148.4097222222,285.06,"United Kingdom",17612,421.005902963888
"11","489445",40148.4145833333,308.44,"United Kingdom",17612,421.005902963888
"12","489446",40148.4208333333,996.1,"United Kingdom",17612,421.005902963888
"13","489447",40148.4236111111,130,"Belgium",52,472.251538461538
"14","489448",40148.4291666667,570.24,"United Kingdom",17612,421.005902963888
"15","489460",40148.4486111111,485.79,"United Kingdom",17612,421.005902963888
"16","489461",40148.4506944444,589.33,"United Kingdom",17612,421.005902963888
"17","489462",40148.4506944444,148.3,"United Kingdom",17612,421.005902963888
"18","489465",40148.4527777778,1197.8,"United Kingdom",17612,421.005902963888
"19","489488",40148.4576388889,251.1,"United Kingdom",17612,421.005902963888
"20","489505",40148.4701388889,255.5,"United Kingdom",17612,421.005902963888
"21","489514",40148.4729166667,823.02,"United Kingdom",17612,421.005902963888
"22","489517",40148.4819444444,282.46,"United Kingdom",17612,421.005902963888
"23","489519",40148.4840277778,696.73,"United Kingdom",17612,421.005902963888
"24","489520",40148.4868055556,733.63,"EIRE",316,1126.85193037975
"25","489522",40148.4895833333,700.31,"United Kingdom",17612,421.005902963888
"26","489523",40148.4902777778,1160,"United Kingdom",17612,421.005902963888
"27","489526",40148.4930555556,929.92,"Germany",347,583.271818443804
"28","489529",40148.49375,229.46,"United Kingdom",17612,421.005902963888
"29","489531",40148.4979166667,145,"United Kingdom",17612,421.005902963888
"30","489532",40148.4986111111,304.53,"United Kingdom",17612,421.005902963888
"31","489533",40148.5013888889,192.75,"United Kingdom",17612,421.005902963888
"32","489536",40148.5090277778,367.41,"United Kingdom",17612,421.005902963888
"33","489537",40148.5097222222,633.33,"United Kingdom",17612,421.005902963888
"34","489540",40148.5125,537.96,"United Kingdom",17612,421.005902963888
"35","489539",40148.5125,2887.14,"United Kingdom",17612,421.005902963888
"36","489542",40148.5131944444,387.6,"United Kingdom",17612,421.005902963888
"37","489544",40148.5138888889,281.82,"United Kingdom",17612,421.005902963888
"38","489545",40148.5152777778,124.95,"United Kingdom",17612,421.005902963888
"39","489546",40148.5208333333,584.5,"EIRE",316,1126.85193037975
"40","489547",40148.5208333333,641.45,"United Kingdom",17612,421.005902963888
"41","489550",40148.5229166667,482.3,"EIRE",316,1126.85193037975
"42","489552",40148.525,278.61,"United Kingdom",17612,421.005902963888
"43","489556",40148.5326388889,379.65,"United Kingdom",17612,421.005902963888
"44","489557",40148.5361111111,603.94,"France",236,619.55686440678
"45","489558",40148.5375,291.58,"United Kingdom",17612,421.005902963888
"46","489559",40148.5381944444,128.6,"United Kingdom",17612,421.005902963888
